cast,director,genre,imdb_id,movie,movie_title,publication_date,rating
"Tikva Dayan, Svika Pick, David Baruch, Yosef Bashi, Rahel Dayan",George Obadiah,"Drama, Music",tt0133396,http://www.wikidata.org/entity/Q52837319,בדרנית בחצות,1977-01-01T00:00:00Z,
"Yehuda Barkan, Reuven Bar-Yotam, Jacques Cohen, Ilan Dar, Yona Elian",Shmuel Imberman,Drama,tt0133519,http://www.wikidata.org/entity/Q52837320,בוא נפוצץ מיליון,1977-01-01T00:00:00Z,6.3
זאב רווח,זאב רווח,Drama,tt0133600,http://www.wikidata.org/entity/Q12404397,בובה,1987-01-01T00:00:00Z,5.7
"גדעון לוי, איתי טיראן, אושרי כהן, אלון אבוטבול, אוהד קנולר",יוסף סידר,סרט דרמה,tt0758732,http://www.wikidata.org/entity/Q813368,בופור,2007-01-01T00:00:00Z,6.8
"נבו קמחי, רות גלר, ששון גבאי, שרה אדלר, הנרי דוד, ישראל דמידוב, רמי דנון",יוסי מדמוני,סרט דרמה,tt1787663,http://www.wikidata.org/entity/Q2895535,בוקר טוב אדון פידלמן,2011-01-01T00:00:00Z,6.7
"שרה אדלר, דוריד לידאווי, בכרי זיאד",שירה גפן,דרמה קומית,tt3751304,http://www.wikidata.org/entity/Q18170412,בורג,2014-05-16T00:00:00Z,6.1
,Ayelet Albenda,Documentary,tt6842330,http://www.wikidata.org/entity/Q52837324,בחדר שלי,2017-01-01T00:00:00Z,
"Ashraf Barhom, Raida Adon, Nisreen Faour, Juliano Mer-Khamis, Wisam Nassar",Ali Nassar,"Drama, Romance",tt0311328,http://www.wikidata.org/entity/Q52837325,בחודש התשיעי,2002-01-01T00:00:00Z,8.1
"עירית פרנק, דן תורן",אסי דיין,סרט דרמה,tt0085541,http://www.wikidata.org/entity/Q6619020,בחינת בגרות,1983-01-01T00:00:00Z,5.7
,David Perlov,Documentary,tt0179104,http://www.wikidata.org/entity/Q52837326,ביבה,1977-01-01T00:00:00Z,
"Mohammad Bakri, Joseph Bee, Eli Danker, Liron Nirgad, Astar Shamir",Eran Riklis,Drama,tt0133391,http://www.wikidata.org/entity/Q52837328,ביום בהיר רואים את דמשק,1984-01-01T00:00:00Z,
,Shai Carmeli-Pollak,סרט תיעודי,tt1334581,http://www.wikidata.org/entity/Q6794829,בילעין חביבתי,2006-01-01T00:00:00Z,8.5
"Maria Zreik, Maya Gasner, Yoram Toledano, Avi Dangur, Jameel Khoury",Miya Hatav,Drama,tt5762836,http://www.wikidata.org/entity/Q52837329,בין העולמות,2016-01-01T00:00:00Z,7.1
"Reymonde Amsallem, Orly Silbersatz, Shmil Ben Ari, Rotem Zissman-Cohen, Gal Zaid",אלון זינגמן,סרט דרמה,tt1467378,http://www.wikidata.org/entity/Q6994843,בין השמשות,2010-01-01T00:00:00Z,6.6
"Keren Mor, Menashe Noy, Bruria Albeck, Yoav Bar-Lev, Ra'anan Hefetz",Amit Hecht,"Comedy, Drama",tt0162878,http://www.wikidata.org/entity/Q52837331,ביפ,1997-01-01T00:00:00Z,6.8
"רונית אלקבץ, אורי גבריאל, ששון גבאי, סאלח בכרי, עימאד ג'בארין, ח'ליפה נאטור, טארק קופטי, שלומי אברהם, רינת מטטוב, תומר יוסף, הילה סעדה, הילה סורג'ון פישר, אהובה קרן",ערן קולירין,"סרט דרמה, סרט קומדיה",tt1032856,http://www.wikidata.org/entity/Q1211239,ביקור התזמורת,2007-01-01T00:00:00Z,7.6
זלדה,"דוד פרלוב, בועז פרנקל, נדב לפיד, דן גבע, דוד אופק, עמיחי חסון",סרט תיעודי,tt3359958,http://www.wikidata.org/entity/Q16129509,בירושלים,2013-01-01T00:00:00Z,7.3
,עמוס גיתאי,סרט תיעודי,tt0162877,http://www.wikidata.org/entity/Q7058269,בית,1980-01-01T00:00:00Z,6.6
"Y. Adaki, Irene Broza, Michael Cohen, Ronnie Cohen, Yitzhak Danziger","Herbert Kline, Joseph Lejtes, Ben Oyserman",Drama,tt0039644,http://www.wikidata.org/entity/Q25495243,בית אבי,1947-01-01T00:00:00Z,4.4
"Sahar Rajabi, Yousef Rajabi",Tamar Kay,"Documentary, Short, Drama",tt5231436,http://www.wikidata.org/entity/Q28466214,בית האילמת,2014-12-31T22:00:00Z,9.2
"טארק קופטי, מיכל שטמלר, דודו ניב, יוסי עיני, ג'ורג' אסקנדר, צחי הלוי, יובל אדלר",יובל אדלר,סרט דרמה,tt2915160,http://www.wikidata.org/entity/Q15016365,בית לחם,2013-08-28T00:00:00Z,7.2
אלישע לוי,"דורון צברי, רינו צרור","סרט תיעודי, סרט דרמה",tt0143130,http://www.wikidata.org/entity/Q6628834,בית שאן: סרט מלחמה,1996-01-01T00:00:00Z,7.1
"דאנה איבגי, ג'יזל סילבר, זאב רווח, ולדימיר פרידמן, אלי אלטוניו, איתי תורג'מן",אורי ענבר,סרט דרמה,tt0340013,http://www.wikidata.org/entity/Q16129528,"בית""ר פרובנס",2002-01-01T00:00:00Z,6.6
"Uri Gavriel, Julia Masla'wi, Gadi Saban, Haim Zanati","Matti Harari, Arik Lubetzki",Action,tt0430925,http://www.wikidata.org/entity/Q52843242,בלאק ג'ק,2004-01-01T00:00:00Z,4.5
"אורי גבריאל, אישתאר, אורי קלאוזנר, שמעון מימרן, יגאל עדיקא, מתי סרי, גלית גיאת, מארק אליהו, ארנון צדוק, דודו טסה, דיקלה, לירית בלבן, ניר לוי",בני תורתי,סרט דרמה,tt2378091,http://www.wikidata.org/entity/Q12404593,בלדה לאביב הבוכה,2012-01-01T00:00:00Z,7.3
יואב צפיר,רנן שור,סרט דרמה,tt0092678,http://www.wikidata.org/entity/Q12404597,בלוז לחופש הגדול,1987-01-01T00:00:00Z,7.4
"חנה לסלאו, גדי יגיל, ז'אק כהן, רפאל קלצ'קין, אבנר חזקיהו, טליה שפירא",יגאל בורשטיין,Drama,tt0133407,http://www.wikidata.org/entity/Q6585571,"בלפר (סרט, 1978)",1978-01-01T00:00:00Z,8.5
"Eliraz Sade, Rom Shoshan, Ronen Amar, Chani Elimelech, Robby Elmaliah",Efrat Corem,Drama,tt3835234,http://www.wikidata.org/entity/Q52837309,בן זקן,2014-01-01T00:00:00Z,5.7
"גבי אלדור, אילן דר",מיכל בת-אדם,סרט דרמה,tt0083637,http://www.wikidata.org/entity/Q4952104,בן לוקח בת,1982-01-01T00:00:00Z,6.4
"שמואל וילוז'ני, אייל נחמיאס, מיכאל מושונוב, אריה צ'רנר, דפנה ארמוני, שרון טל",Niv Klainer,סרט דרמה,tt1454447,http://www.wikidata.org/entity/Q16130564,בנא,2009-01-01T00:00:00Z,7.1
"Hanna Azoulay Hasfari, Anat Topol, Chelli Goldenberg, Caroline Langford, Arianna Rotenberg",נדב לויתן,סרט קומדיה,tt0133399,http://www.wikidata.org/entity/Q51497594,בנות,1985-01-01T00:00:00Z,6.2
"נטלי פורטמן, היאם עבאס, כרמן מאורה, מכרם ח'ורי, חנה לסלאו, אקי אבני, שרדי ג'בארין, אורי קלאוזנר, לירון לבו",עמוס גיתאי,"סרט דרמה, סרט קומדיה",tt0441761,http://www.wikidata.org/entity/Q1247320,אזור חופשי,2005-01-01T00:00:00Z,5.9
"Seffie Adir, Icho Avital, Chaim Banai, Baruch David, Guy Garner",איתן גרין,סרט דרמה,tt0104219,http://www.wikidata.org/entity/Q12403646,אזרח אמריקאי,1992-01-01T00:00:00Z,6.3
"Naftali Alter, Uri Alter, Itay Bar-Levav Eran, Doron Eran, Seffy Rivlin",Menahem Zilberman,Comedy,tt0126279,http://www.wikidata.org/entity/Q52837344,אחד באפריל,1989-01-01T00:00:00Z,4.5
"אלון אבוטבול, שאול מזרחי, אלון נוימן, דליה שימקו, דן תורן, שרון אלכסנדר",אורי ברבש,סרט דרמה,tt0097265,http://www.wikidata.org/entity/Q20649264,אחד משלנו,1989-01-01T00:00:00Z,7
"Tamar Yerushalmi, Askala Marcus, Zvi Salton, Miriam Nevo, Nelly Tagar",Dan Wolman,Drama,tt0256587,http://www.wikidata.org/entity/Q52837348,אחות זרה,2000-01-01T00:00:00Z,5.9
משה איבגי,מרקו כרמל,Drama,tt1980315,http://www.wikidata.org/entity/Q12403677,אחותי היפה,2011-01-01T00:00:00Z,5.8
"Gedalia Besser, Hagit Dasberg, Michaela Eshet, Miriam Gavrieli, Zachi Noy",Amnon Rubinstein,Drama,tt0109056,http://www.wikidata.org/entity/Q52843247,אחרי החגים,1994-01-01T00:00:00Z,6.2
,נורית קידר,סרט תיעודי,tt0431961,http://www.wikidata.org/entity/Q1676289,אחת בודדת,2004-01-01T00:00:00Z,6.6
מאור שוויצר,שי כנות,Comedy,tt5007828,http://www.wikidata.org/entity/Q25489694,איביזה,2015-01-01T00:00:00Z,3.9
"דורין כספי, אבינעם מור-חיים, תומס סובצ'ק, אולה שור-סלקטר, אלכסנדר סנדרוביץ', מנשה נוי, גרא סנדלר",יבגני רומן,סרט דרמה,tt1906396,http://www.wikidata.org/entity/Q6981074,איגור ומסע העגורים,2012-09-08T00:00:00Z,7.4
