date_of_birth,genderLabel,imdb_id,occupationLabel,person,person_name,place_of_birthLabel,Actors_directors (Title)
1929-09-20T00:00:00Z,זכר,nm0902026,שחקן קולנוע,http://www.wikidata.org/entity/Q96095,האנס פון בורסודי,וינה,
1979-03-10T00:00:00Z,נקבה,nm2132387,שחקן,http://www.wikidata.org/entity/Q12406426,הגר בן-אשר,הוד השרון,
1990-09-21T00:00:00Z,נקבה,nm2481725,שחקן,http://www.wikidata.org/entity/Q4538741,הדס ירון,ישראל,
1975-12-01T00:00:00Z,נקבה,nm0435619,שחקן,http://www.wikidata.org/entity/Q12406436,הדס קלדרון,תל אביב-יפו,
1936-03-01T00:00:00Z,זכר,nm0946411,שחקן,http://www.wikidata.org/entity/Q6986568,הוגו ירדן,ברזיל,
1960-11-30T00:00:00Z,נקבה,nm0007814,שחקן,http://www.wikidata.org/entity/Q177993,היאם עבאס,נצרת,
1973-08-19T00:00:00Z,נקבה,nm1364442,שחקן,http://www.wikidata.org/entity/Q12406576,הילה סורג'ון פישר,חיפה,
1982-10-12T00:00:00Z,נקבה,nm4086400,שחקן,http://www.wikidata.org/entity/Q12406574,הילה סעדה,מגדל העמק,
1985-02-14T00:00:00Z,נקבה,nm1151744,שחקן,http://www.wikidata.org/entity/Q1513557,הילי ילון,ירושלים,
1955-10-10T00:00:00Z,זכר,nm0320762,שחקן,http://www.wikidata.org/entity/Q1620037,היפוליט גיררדו,בולון-בילנקור,
1871-02-18T00:00:00Z,זכר,nm0503814,במאי קולנוע,http://www.wikidata.org/entity/Q124434,הלמר לרסקי,שטרסבורג,
1964-12-09T00:00:00Z,נקבה,nm1111362,שחקן,http://www.wikidata.org/entity/Q12406670,הלנה ירלובה,קייב,
1979-04-28T00:00:00Z,זכר,nm2553463,שחקן קולנוע,http://www.wikidata.org/entity/Q4153569,הנרי דוד,באקו,
1927-03-25T00:00:00Z,זכר,nm0299439,שחקן קולנוע,http://www.wikidata.org/entity/Q85823,הרברט פוקס,האליין,
1973-07-03T00:00:00Z,זכר,nm1753888,שחקן,http://www.wikidata.org/entity/Q16130447,הרצל טובי,גיברלטר,
1959-01-06T00:00:00Z,נקבה,nm0082699,במאי קולנוע,http://www.wikidata.org/entity/Q3557811,וידי בילו,ירושלים,
1959-06-20T00:00:00Z,זכר,nm0295393,שחקן,http://www.wikidata.org/entity/Q4492743,ולדימיר פרידמן,קורסק,
1934-08-14T00:00:00Z,זכר,nm0229943,שחקן קולנוע,http://www.wikidata.org/entity/Q205868,ורנון דובטשף,נים,
1944-04-08T00:00:00Z,זכר,nm0071114,שחקן,http://www.wikidata.org/entity/Q1685364,ז'אן בן-גיגי,אוראן,
1928-01-23T00:00:00Z,נקבה,nm0603402,שחקן,http://www.wikidata.org/entity/Q106099,ז'אן מורו,פריז,
1964-03-09T00:00:00Z,נקבה,nm0000300,שחקן,http://www.wikidata.org/entity/Q106275,ז'ולייט בינוש,פריז,
1924-08-17T00:00:00Z,זכר,nm0259506,שחקן קולנוע,http://www.wikidata.org/entity/Q1678002,ז'ק הרלין,Le Vésinet,
1948-12-27T00:00:00Z,זכר,nm0000367,במאי קולנוע,http://www.wikidata.org/entity/Q106508,ז'ראר דפארדיה,שאטורו,
1940-01-01T00:00:00Z,זכר,nm0720745,שחקן,http://www.wikidata.org/entity/Q2599101,זאב רווח,מרוקו,
1977-09-01T00:00:00Z,זכר,nm1922254,שחקן,http://www.wikidata.org/entity/Q6723196,זהר ליבה,נואיבה,
1972-03-04T00:00:00Z,זכר,nm1364521,שחקן,http://www.wikidata.org/entity/Q8073451,זהר שטראוס,חיפה,
1958-11-12T00:00:00Z,זכר,nm0577841,שחקן,http://www.wikidata.org/entity/Q1265121,זילבר מלכי,פריז,
1965-09-27T00:00:00Z,זכר,nm0954704,שחקן,http://www.wikidata.org/entity/Q391974,"זם, רושדי",ז'נוויליה,
1963-01-01T00:00:00Z,זכר,nm0505448,במאי קולנוע,http://www.wikidata.org/entity/Q2777387,חגי לוי,שעלבים,
1931-09-20T00:00:00Z,נקבה,nm0361823,שחקן קולנוע,http://www.wikidata.org/entity/Q238391,חיה הררית,חיפה,
1952-06-16T00:00:00Z,זכר,nm0100509,במאי קולנוע,http://www.wikidata.org/entity/Q16132547,חיים בוזגלו,ירושלים,
1937-05-01T00:00:00Z,זכר,nm0051524,שחקן,http://www.wikidata.org/entity/Q6931644,חיים בנאי,ירושלים,
1923-10-09T00:00:00Z,זכר,nm0332679,במאי קולנוע,http://www.wikidata.org/entity/Q2661005,חיים גורי,תל אביב-יפו,
1935-09-09T00:00:00Z,זכר,nm0867694,שחקן,http://www.wikidata.org/entity/Q319133,חיים טופול,תל אביב-יפו,
1954-05-25T00:00:00Z,נקבה,nm0318404,שחקן,http://www.wikidata.org/entity/Q5089935,חלי גולדנברג,תל אביב-יפו,
1991-01-20T00:00:00Z,נקבה,nm6416860,שחקן,http://www.wikidata.org/entity/Q17523659,חן אמסלם,עפולה,
1960-06-29T00:00:00Z,נקבה,nm0044384,שחקן,http://www.wikidata.org/entity/Q7062697,חנה אזולאי-הספרי,באר שבע,
1953-06-14T00:00:00Z,נקבה,nm0489713,שחקן קולנוע,http://www.wikidata.org/entity/Q287420,חנה לסלאו,יפו,
1923-11-22T00:00:00Z,נקבה,nm0581116,שחקן קולנוע,http://www.wikidata.org/entity/Q70162,חנה מרון,ברלין,
1943-12-25T00:00:00Z,נקבה,nm0778016,שחקן קולנוע,http://www.wikidata.org/entity/Q28921,חנה שיגולה,חוז'וב,
1959-04-09T00:00:00Z,נקבה,nm0619591,שחקן,http://www.wikidata.org/entity/Q5649299,חני נחמיאס,תל אביב-יפו,
1979-09-14T00:00:00Z,נקבה,nm1139455,שחקן,http://www.wikidata.org/entity/Q5648161,חני פירסטנברג,ישראל,
1981-12-01T00:00:00Z,נקבה,nm1249029,שחקן,http://www.wikidata.org/entity/Q12404931,גילי סער,חדרה,
1973-01-01T00:00:00Z,זכר,nm0795956,שחקן,http://www.wikidata.org/entity/Q6259840,גילי שושן,תל אביב-יפו,
1955-10-01T00:00:00Z,נקבה,nm0030184,שחקן,http://www.wikidata.org/entity/Q6989754,גילת אנקורי,ארצות הברית,
1985-04-30T00:00:00Z,נקבה,nm2933757,שחקן,http://www.wikidata.org/entity/Q185654,גל גדות,ראש העין,
1953-12-29T00:00:00Z,נקבה,nm0040300,שחקן קולנוע,http://www.wikidata.org/entity/Q231654,גלי עטרי,רחובות,
1971-01-01T00:00:00Z,נקבה,nm0316418,שחקן,http://www.wikidata.org/entity/Q6955599,גלית גיאת,גבעת שמואל,
1973-07-01T00:00:00Z,זכר,nm1495361,שחקן,http://www.wikidata.org/entity/Q16132373,גרא סנדלר,ברית המועצות,
1929-04-11T00:00:00Z,זכר,nm0305488,שחקן קולנוע,http://www.wikidata.org/entity/Q466434,"גרסין, הנרי,",אנטוורפן,
1982-04-03T00:00:00Z,נקבה,nm0412404,שחקן,http://www.wikidata.org/entity/Q528853,דאנה איבגי,ישראל,
1959-06-15T00:00:00Z,זכר,nm0623128,שחקן,http://www.wikidata.org/entity/Q12405647,דב נבון,תל אביב-יפו,
1969-12-29T00:00:00Z,זכר,nm0051676,שחקן,http://www.wikidata.org/entity/Q1268310,דביר בנדק,קריית ים,
1948-03-03T00:00:00Z,זכר,nm0301534,שחקן,http://www.wikidata.org/entity/Q7007247,דובי גל,נתניה,
1966-12-08T00:00:00Z,זכר,nm0467017,במאי קולנוע,http://www.wikidata.org/entity/Q2906571,דובר קוסאשווילי,גאורגיה,
1934-02-21T00:00:00Z,זכר,nm0043117,שחקן,http://www.wikidata.org/entity/Q706526,דוד אבידן,תל אביב-יפו,
1928-09-25T00:00:00Z,זכר,nm0202832,שחקן,http://www.wikidata.org/entity/Q16129927,דוד ברוך,סופיה,
1930-06-09T00:00:00Z,זכר,nm0674261,במאי קולנוע,http://www.wikidata.org/entity/Q1408673,דוד פרלוב,ריו דה ז'ניירו,
1948-09-20T00:00:00Z,זכר,nm0234517,שחקן,http://www.wikidata.org/entity/Q7055179,דודו דותן,חיפה,
1946-09-20T00:00:00Z,זכר,nm0867630,שחקן קולנוע,http://www.wikidata.org/entity/Q1263812,דודו טופז,חיפה,
1977-02-10T00:00:00Z,זכר,nm1381793,שחקן,http://www.wikidata.org/entity/Q12405747,דודו טסה,תל אביב-יפו,
1931-01-01T00:00:00Z,זכר,nm0806372,שחקן,http://www.wikidata.org/entity/Q7013129,דודיק סמדר,חיפה,
1977-10-01T00:00:00Z,זכר,nm3232468,במאי קולנוע,http://www.wikidata.org/entity/Q6778704,דויד בן ארי,באר שבע,
1960-10-01T00:00:00Z,זכר,nm0959008,שחקן,http://www.wikidata.org/entity/Q7069121,דור צויגנבום,חיפה,
1954-03-28T00:00:00Z,זכר,nm0626410,שחקן,http://www.wikidata.org/entity/Q7042569,דורון נשר,רעננה,
1982-04-29T00:00:00Z,זכר,nm4285949,שחקן קולנוע,http://www.wikidata.org/entity/Q6585260,דורון עמית,ישראל,
